RENTAL_ZONE_HAL_ID,RENTAL_ZONE_HAL_SRC,NAME,CODE,TYPE,CITY,COUNTRY,LATITUDE,LONGITUDE,POI_AIRPORT_X,POI_LONG_DISTANCE_TRAINS_X,POI_SUBURBAN_TRAINS_X,POI_UNDERGROUND_X,ACTIVE_X,COMPANY,COMPANY_GROUP
6630,Standort,Subbelrather/Innere Kanalstr.,40026393,normal,K├Čln,Deutschland,"6,933908902500000","50,949373482800000",Nein,Nein,Nein,Nein,Ja,Call a Bike,Call a Bike
6676,Standort,Barbarossaplatz,40026738,normal,K├Čln,Deutschland,"6,941426066700000","50,929039587400000",Nein,Nein,Nein,Nein,Ja,Call a Bike,Call a Bike
6712,Standort,Breite Strasse/Neue Langgasse/U-Bahn,40027097,normal,K├Čln,Deutschland,"6,950618400000000","50,938903260700000",Nein,Nein,Nein,Nein,Ja,Call a Bike,Call a Bike
6717,Standort,Bahnhof-Haupt- Domseite,400300035,normal,K├Čln,Deutschland,"6,957565565100000","50,941764759600000",Nein,Nein,Nein,Nein,Ja,Call a Bike,Call a Bike
6723,Standort,Lise-Meitner-Str./ Kreuznacherstr. (Novotel),6048600011,normal,Frankfurt am Main,Deutschland,"8,642785000000000","50,115468000000000",Nein,Nein,Nein,Nein,Ja,Call a Bike,Call a Bike
6728,Standort,Eigelstein/Ebertplatz,40029681,normal,K├Čln,Deutschland,"6,956884699500000","50,949074010600000",Nein,Nein,Nein,Nein,Ja,Call a Bike,Call a Bike
6729,Standort,Bahnhof West,40029695,normal,K├Čln,Deutschland,"6,933136550800000","50,943442902200000",Nein,Nein,Nein,Nein,Ja,Call a Bike,Call a Bike
6760,Standort,Museum Ludwig,40030179,normal,K├Čln,Deutschland,"6,959877028300000","50,941083182600000",Nein,Ja,Nein,Nein,Ja,Call a Bike,Call a Bike
7596,Standort,Dormero-Hotel / Europaallee,6032700007,normal,Frankfurt am Main,Deutschland,"8,643816000000000","50,108311000000000",Nein,Nein,Nein,Nein,Ja,Call a Bike,Call a Bike
8880,Standort,Hauptbahnhof,88000577,normal,M├╝nchen,Deutschland,"11,560833330000000","48,139444440000000",Nein,Nein,Nein,Nein,Ja,Call a Bike,Call a Bike
8960,Standort,M├╝nchner Freiheit,88001341,normal,M├╝nchen,Deutschland,"11,587500000000000","48,164166670000000",Nein,Nein,Nein,Nein,Ja,Call a Bike,Call a Bike
8993,Standort,Hauptbahnhof,88002000,normal,M├╝nchen,Deutschland,"11,560555560000000","48,140555560000000",Nein,Nein,Nein,Nein,Ja,Call a Bike,Call a Bike
8999,Standort,Goetheplatz,88002039,normal,M├╝nchen,Deutschland,"11,558333330000000","48,129444440000000",Nein,Nein,Nein,Nein,Ja,Call a Bike,Call a Bike
9052,Standort,Prof.-Huber Platz,88002510,normal,M├╝nchen,Deutschland,"11,581944440000000","48,150277780000000",Nein,Nein,Nein,Nein,Ja,Call a Bike,Call a Bike
9090,Standort,M├╝nchner Freiheit,88002885,normal,M├╝nchen,Deutschland,"11,586666670000000","48,161666670000000",Nein,Nein,Nein,Nein,Ja,Call a Bike,Call a Bike
10225,Standort,Bahnhof Deutz,40022163,normal,K├Čln,Deutschland,"6,973560040300000","50,939842185300000",Nein,Nein,Nein,Nein,Ja,Call a Bike,Call a Bike
10235,Standort,Eigelstein/Ebertplatz,40022214,normal,K├Čln,Deutschland,"6,956884699500000","50,949074010600000",Nein,Nein,Nein,Nein,Ja,Call a Bike,Call a Bike
10286,Standort,Neumarkt,40022658,normal,K├Čln,Deutschland,"6,949050441300000","50,935507832400000",Nein,Nein,Nein,Nein,Ja,Call a Bike,Call a Bike
10287,Standort,Neumarkt,40022659,normal,K├Čln,Deutschland,"6,949050441300000","50,935507832400000",Nein,Nein,Nein,Nein,Ja,Call a Bike,Call a Bike
10343,Standort,Z├╝lpicher Platz/Friedrichstr.,40023113,normal,K├Čln,Deutschland,"6,941011210000000","50,930558251000000",Nein,Nein,Nein,Nein,Ja,Call a Bike,Call a Bike
10405,Standort,Mediapark,40023597,normal,K├Čln,Deutschland,"6,945105008800000","50,947131194700000",Nein,Nein,Nein,Nein,Ja,Call a Bike,Call a Bike
10439,Standort,Bahnhof Haupt- Breslauer Platz,40023821,normal,K├Čln,Deutschland,"6,960443189700000","50,943532231100000",Nein,Nein,Nein,Nein,Ja,Call a Bike,Call a Bike
10479,Standort,WDR,40024147,normal,K├Čln,Deutschland,"6,953627851400000","50,940181530600000",Nein,Nein,Nein,Nein,Ja,Call a Bike,Call a Bike
10810,Standort,Chlodwigplatz,40029603,normal,K├Čln,Deutschland,"6,959477162300000","50,921020722100000",Nein,Nein,Nein,Nein,Ja,Call a Bike,Call a Bike
10817,Standort,Eigelstein/Ebertplatz,40029679,normal,K├Čln,Deutschland,"6,956884699500000","50,949074010600000",Nein,Nein,Nein,Nein,Ja,Call a Bike,Call a Bike
10844,Standort,Uni Heilp├żdagogik Haus 213,40030041,normal,K├Čln,Deutschland,"6,921024450300000","50,933659741900000",Nein,Nein,Nein,Nein,Ja,Call a Bike,Call a Bike
10864,Standort,Bahnhof West,40030331,normal,K├Čln,Deutschland,"6,933136550800000","50,943442902200000",Nein,Nein,Nein,Nein,Ja,Call a Bike,Call a Bike
12399,Standort,Stachus,88000075,normal,M├╝nchen,Deutschland,"11,565555560000000","48,138888890000000",Nein,Nein,Nein,Nein,Ja,Call a Bike,Call a Bike
12400,Standort,Odeonsplatz,88007457,normal,M├╝nchen,Deutschland,"11,577565977200000","48,142344159300000",Nein,Nein,Nein,Nein,Ja,Call a Bike,Call a Bike
12623,Standort,Deutschordenstra├¤e / Heinrich-Hoffmann-Stra├¤e,6052800012,normal,Frankfurt am Main,Deutschland,"8,652706000000000","50,092593000000000",Nein,Nein,Nein,Nein,Ja,Call a Bike,Call a Bike
12656,Standort,Bockenheimer Landstra├¤e / Mendelssohnstra├¤e,6032300005,normal,Frankfurt am Main,Deutschland,"8,659764222400000","50,119072963900000",Nein,Nein,Nein,Nein,Ja,Call a Bike,Call a Bike
12939,Standort,Osthafenplatz / Hanauer Landstra├¤e,6031400016,normal,Frankfurt am Main,Deutschland,"8,712003000000000","50,111153000000000",Nein,Nein,Nein,Nein,Ja,Call a Bike,Call a Bike
13191,Standort,Odeonsplatz,88006792,normal,M├╝nchen,Deutschland,"11,577970320400000","48,142614000600000",Nein,Nein,Nein,Nein,Ja,Call a Bike,Call a Bike
13197,Standort,Kurf├╝rstenplatz,88006833,normal,M├╝nchen,Deutschland,"11,575277780000000","48,160277780000000",Nein,Nein,Nein,Nein,Ja,Call a Bike,Call a Bike
13239,Standort,Sendlinger Tor Platz,88007171,normal,M├╝nchen,Deutschland,"11,567219547000000","48,133709237800000",Nein,Nein,Nein,Nein,Ja,Call a Bike,Call a Bike
13302,Standort,Bahnhof S├╝d,40026124,normal,K├Čln,Deutschland,"6,938814998800000","50,926435570300000",Nein,Nein,Nein,Nein,Ja,Call a Bike,Call a Bike
13353,Standort,WDR,40026515,normal,K├Čln,Deutschland,"6,953175303400000","50,940162213500000",Nein,Nein,Nein,Nein,Ja,Call a Bike,Call a Bike
13427,Standort,Breite Strasse/Neue Langgasse/U-Bahn,40027096,normal,K├Čln,Deutschland,"6,950618400000000","50,938903260700000",Nein,Nein,Nein,Nein,Ja,Call a Bike,Call a Bike
13516,Standort,Z├╝lpicher Platz/Friedrichstr.,40027902,normal,K├Čln,Deutschland,"6,939332934200000","50,930237905400000",Nein,Nein,Nein,Nein,Ja,Call a Bike,Call a Bike
13523,Standort,Neumarkt,40027954,normal,K├Čln,Deutschland,"6,945853224500000","50,935807950400000",Nein,Nein,Nein,Nein,Ja,Call a Bike,Call a Bike
14150,Standort,Goetheplatz,88000523,normal,M├╝nchen,Deutschland,"11,558333330000000","48,129166670000000",Nein,Nein,Nein,Nein,Ja,Call a Bike,Call a Bike
14166,Standort,Sendlinger Tor Platz,88000690,normal,M├╝nchen,Deutschland,"11,565833330000000","48,134444440000000",Nein,Nein,Nein,Nein,Ja,Call a Bike,Call a Bike
14246,Standort,Ostbahnhof,88001644,normal,M├╝nchen,Deutschland,"11,603055560000000","48,127777780000000",Nein,Nein,Nein,Nein,Ja,Call a Bike,Call a Bike
14307,Standort,LMU Projektstandort 4,88002477,normal,M├╝nchen,Deutschland,"11,564166670000000","48,130000000000000",Nein,Nein,Nein,Nein,Ja,Call a Bike,Call a Bike
14811,Standort,Chlodwigplatz,40028419,normal,K├Čln,Deutschland,"6,959876016900000","50,921079738900000",Nein,Nein,Nein,Nein,Ja,Call a Bike,Call a Bike
14962,Standort,Friesenplatz,40018590,normal,K├Čln,Deutschland,"6,937831691600000","50,940359371200000",Nein,Nein,Nein,Nein,Ja,Call a Bike,Call a Bike
14964,Standort,Neumarkt,40018645,normal,K├Čln,Deutschland,"6,945614128900000","50,936644988500000",Nein,Nein,Nein,Nein,Ja,Call a Bike,Call a Bike
14997,Standort,Friesenplatz,40018925,normal,K├Čln,Deutschland,"6,940042141000000","50,940523807000000",Nein,Nein,Nein,Nein,Ja,Call a Bike,Call a Bike
14998,Standort,Friesenplatz,40018926,normal,K├Čln,Deutschland,"6,940042141000000","50,940523807000000",Nein,Nein,Nein,Nein,Ja,Call a Bike,Call a Bike
